"Word","Auditory.mean","Gustatory.mean","Haptic.mean","Interoceptive.mean","Olfactory.mean","Visual.mean","Auditory.SD","Gustatory.SD","Haptic.SD","Interoceptive.SD","Olfactory.SD","Visual.SD","Max_strength.perceptual","Exclusivity.perceptual","Dominant.perceptual","Minkowski3.perceptual","N_known.perceptual","Percent_known.perceptual"
"UNFRUITFUL",0.882,0.706,0.941,1.235,0.353,3.412,1.495,1.611,1.56,1.678,0.786,1.938,3.412,0.406,"Visual",3.517,17,0.944
"UNFRUITFULNESS",0.929,1,0.643,0.643,0.571,3.071,1.542,1.754,1.336,1.216,1.158,1.859,3.071,0.365,"Visual",3.158,14,0.824
"UNFULFILLED",0.789,0.316,0.526,2.368,0.316,1.316,1.228,0.946,1.073,2.241,0.946,1.668,2.368,0.364,"Interoceptive",2.534,19,1
"UNFULFILLING",1.353,0.588,0.765,3.471,0.471,1.882,1.579,1.372,1.393,1.875,1.281,1.867,3.471,0.352,"Interoceptive",3.725,17,1
"UNFUNDED",1.25,0,0.062,0,0,1.688,1.693,0,0.25,0,0,1.778,1.688,0.562,"Visual",1.891,16,0.941
"UNFUNNY",3.059,0.059,0.059,1.235,0.118,2.353,2.076,0.243,0.243,1.602,0.332,1.73,3.059,0.436,"Auditory",3.518,17,1
"UNFURNISHED",0.389,0.278,0.5,0.167,0.222,4.167,0.979,0.958,1.339,0.514,0.647,1.425,4.167,0.699,"Visual",4.171,18,1
"UNFUSSY",2.111,0.056,0,0.778,0.056,2.5,1.997,0.236,0,1.396,0.236,1.948,2.5,0.455,"Visual",2.944,18,0.947
"UNGAINLY",0.75,0,0.417,1.083,0,2.917,1.055,0,0.9,1.564,0,2.109,2.917,0.565,"Visual",2.984,12,0.632
"UNGALLANTLY",2.214,0,0.143,1.071,0,3.143,2.155,0,0.535,1.73,0,1.916,3.143,0.478,"Visual",3.507,14,0.778
"UNGENEROUS",2.125,0,0.312,1.938,0.062,3.375,2.062,0,0.873,1.879,0.25,1.821,3.375,0.432,"Visual",3.811,16,0.941
"UNGENEROUSLY",2.176,0.059,0.235,1.471,0.088,2.647,1.961,0.239,0.741,1.83,0.379,1.873,2.647,0.388,"Visual",3.177,34,0.919
"UNGENTLE",1.833,0,2.5,1.333,0,2.722,1.505,0,2.203,1.815,0,1.776,2.722,0.325,"Visual",3.539,18,1
"UNGENTLEMANLY",3,0.474,0.684,1,0.842,3.579,1.795,1.429,1.455,1.826,1.675,1.502,3.579,0.324,"Visual",4.215,19,1
"UNGIFTED",1.588,0.059,0.294,1.765,0,2.235,1.543,0.243,0.686,2.278,0,1.821,2.235,0.376,"Visual",2.746,17,1
"UNGLAMOROUS",1.647,0.412,0.588,1.118,0.353,3.765,1.579,1.278,1.502,1.691,1.222,1.48,3.765,0.433,"Visual",3.905,17,1
"UNGLAZED",0,1.643,2.143,0.643,0.429,3.929,0,2.134,2.107,1.151,1.089,1.492,3.929,0.447,"Visual",4.222,14,0.875
"UNGLOVED",0.412,0.235,3.176,0.765,0.176,3.882,1.004,0.752,1.912,1.437,0.728,1.111,3.882,0.429,"Visual",4.5,17,1
"UNGLUE",0.5,0,2.625,0.625,0.188,2.438,0.894,0,1.857,1.36,0.544,1.59,2.625,0.412,"Haptic",3.206,16,0.889
"UNGLUED",1.029,0.088,1.5,0.824,0.176,3.5,1.566,0.514,1.911,1.566,0.758,1.813,3.5,0.479,"Visual",3.632,34,1
"UNGODLINESS",2.688,0.062,0.062,0.312,0,2.688,2.12,0.25,0.25,0.793,0,2.152,2.688,0.462,"Auditory",3.387,16,1
"UNGODLY",1.737,0.184,0.184,1.658,0.211,1.816,1.826,0.865,0.865,1.878,0.843,1.943,1.816,0.282,"Visual",2.51,38,1
"UNGOVERNABLE",1.118,0,0.118,1.176,0,1.706,1.364,0,0.485,1.776,0,1.572,1.706,0.414,"Visual",1.999,17,0.895
"UNGOVERNED",2.1,0.05,0.35,1.3,0.1,2.5,2.174,0.224,0.933,1.949,0.447,2.039,2.5,0.383,"Visual",3.005,20,1
"UNGRACEFUL",1.25,0.15,0.8,1.15,0.1,2.55,1.618,0.671,1.542,1.599,0.447,2.164,2.55,0.408,"Visual",2.74,20,0.952
"UNGRACEFULLY",1.882,0.176,0.941,1.941,0.176,3.882,1.616,0.529,1.56,1.886,0.529,1.364,3.882,0.412,"Visual",4.186,17,1
"UNGRACIOUS",2.75,0.312,0.5,1.375,0.312,3.312,1.77,1.25,1.317,2.062,1.25,1.493,3.312,0.35,"Visual",3.913,16,0.941
"UNGRACIOUSLY",2.85,0,0.1,1.95,0,3,1.927,0,0.447,1.905,0,1.622,3,0.38,"Visual",3.861,20,1
"UNGRACIOUSNESS",2.5,0,0.05,1.95,0,3.2,1.933,0,0.224,2.012,0,1.609,3.2,0.416,"Visual",3.821,20,1
