Word,Auditory.mean,Gustatory.mean,Haptic.mean,Interoceptive.mean,Olfactory.mean,Visual.mean,Auditory.SD,Gustatory.SD,Haptic.SD,Interoceptive.SD,Olfactory.SD,Visual.SD,Max_strength.perceptual,Exclusivity.perceptual,Dominant.perceptual,Minkowski3.perceptual,N_known.perceptual,Percent_known.perceptual
UNPLUGGING,0.706,0.176,3.235,0.588,0.176,2.294,0.849,0.728,1.602,1.372,0.728,1.611,3.235,0.426,Haptic,3.596,17,0.944
MATING,2.353,1.765,3.235,3.353,1.882,3.529,1.869,1.888,1.985,1.902,1.965,1.736,3.529,0.109,Visual,5.201,17,0.944
FOOTSIE,0.529,0.059,3.235,0.824,0.059,2.647,1.179,0.243,1.715,1.237,0.243,1.935,3.235,0.432,Haptic,3.759,17,1.0
BOOGER,0.176,0.353,3.235,1.588,0.647,3.294,0.728,0.862,2.016,1.938,1.412,1.929,3.294,0.335,Visual,4.197,17,1.0
PUFFY,0.0,0.294,3.235,1.294,0.0,4.118,0.0,0.772,1.888,1.49,0.0,0.993,4.118,0.461,Visual,4.731,17,1.0
ELECTRONICS,2.647,0.0,3.235,0.0,0.235,4.471,2.029,0.0,2.107,0.0,0.664,1.007,4.471,0.422,Visual,5.214,17,1.0
HANDHOLD,0.588,0.647,3.235,1.647,0.529,3.0,1.064,1.412,2.078,1.455,1.068,1.696,3.235,0.28,Haptic,4.04,17,1.0
AFRO,0.235,0.059,3.235,0.059,0.235,4.412,0.752,0.243,1.522,0.243,0.562,0.87,4.412,0.529,Visual,4.929,17,1.0
CACTUS,0.294,0.824,3.235,0.412,0.529,4.353,1.213,1.38,1.64,1.278,1.231,1.115,4.353,0.421,Visual,4.893,17,1.0
EXFOLIATING,0.706,0.118,3.235,1.0,0.529,2.706,0.849,0.485,1.602,1.5,0.8,2.085,3.235,0.376,Haptic,3.807,17,0.895
WORLD,3.471,2.765,3.235,2.588,2.647,4.235,1.807,2.333,1.786,1.906,2.149,1.091,4.235,0.087,Visual,5.931,17,1.0
NUMB,0.412,0.353,3.235,3.235,0.059,0.294,1.228,0.996,1.602,2.107,0.243,1.213,3.235,0.419,Interoceptive,4.079,17,0.944
VEHICLE,3.412,0.706,3.235,1.588,1.529,4.294,1.622,1.687,1.985,2.063,1.772,1.312,4.294,0.243,Visual,5.437,17,1.0
PEARL,0.529,0.176,3.235,0.176,0.176,4.412,1.375,0.728,1.855,0.728,0.728,1.228,4.412,0.486,Visual,4.931,17,1.0
SEAMED,0.538,0.308,3.231,0.923,0.308,3.615,0.967,0.855,1.787,1.656,0.855,1.502,3.615,0.371,Visual,4.344,13,0.867
CATHETERIZE,0.846,0.0,3.231,2.0,0.231,2.769,1.214,0.0,1.363,1.414,0.599,1.739,3.231,0.356,Haptic,3.991,13,0.684
KEYPRESS,1.538,0.0,3.231,0.231,0.0,3.0,1.561,0.0,2.242,0.832,0.0,1.958,3.231,0.404,Haptic,4.008,13,0.867
FIRE,2.227,0.045,3.227,0.909,3.455,4.545,1.716,0.213,1.631,1.601,1.438,1.057,4.545,0.312,Visual,5.652,22,1.0
EPIDERMIS,0.484,0.226,3.226,1.226,0.645,3.548,1.363,0.92,2.077,1.82,1.33,1.895,3.548,0.355,Visual,4.317,31,0.912
STRUCK,2.5,0.0,3.222,1.889,0.056,3.611,1.79,0.0,1.927,2.166,0.236,1.685,3.611,0.32,Visual,4.686,18,0.947
INHALER,2.389,1.778,3.222,2.056,1.333,4.278,1.65,1.437,1.865,2.071,1.645,1.274,4.278,0.196,Visual,5.218,18,1.0
BOXER SHORTS,0.889,0.0,3.222,0.5,0.444,4.056,1.323,0.0,1.833,1.465,0.856,1.056,4.056,0.445,Visual,4.658,18,1.0
COFFEE TABLE,0.111,0.0,3.222,0.0,0.0,4.722,0.471,0.0,1.927,0.0,0.0,0.752,4.722,0.586,Visual,5.177,18,1.0
CYLINDER,0.5,0.056,3.222,0.056,0.056,4.333,1.043,0.236,1.734,0.236,0.236,1.085,4.333,0.52,Visual,4.862,18,1.0
KNIFE,0.667,0.278,3.222,0.278,0.0,4.5,1.372,1.179,1.801,1.179,0.0,0.924,4.5,0.503,Visual,4.999,18,1.0
JAWBONE,0.222,0.0,3.222,1.111,0.0,3.667,0.548,0.0,1.768,1.779,0.0,1.645,3.667,0.446,Visual,4.382,18,1.0
MUTT,3.167,0.278,3.222,0.389,1.889,4.333,1.724,1.179,1.7,1.243,1.967,1.029,4.333,0.305,Visual,5.353,18,0.947
OFFICE FURNITURE,0.167,0.222,3.222,0.222,0.278,4.167,0.514,0.943,1.517,0.548,0.461,1.249,4.167,0.483,Visual,4.73,18,1.0
CIGARETTE CASE,1.056,0.056,3.222,0.278,1.444,3.944,1.589,0.236,1.833,0.575,1.723,1.662,3.944,0.389,Visual,4.627,18,1.0
RACQUETBALL,2.889,0.056,3.222,0.778,0.222,4.556,1.844,0.236,2.016,1.263,0.732,1.199,4.556,0.384,Visual,5.344,18,0.947
SLEEP WITH,1.556,0.222,3.222,1.889,0.5,3.167,1.504,0.732,1.768,1.676,0.857,1.724,3.222,0.284,Haptic,4.233,18,1.0
RETHREAD,0.278,0.056,3.222,0.111,0.0,3.444,0.669,0.236,1.396,0.323,0.0,1.617,3.444,0.484,Visual,4.205,18,0.947
CHALKLIKE,0.944,1.556,3.222,0.444,1.0,3.278,1.862,2.064,2.016,1.338,1.97,1.994,3.278,0.271,Visual,4.205,18,1.0
CANOE,0.778,0.111,3.222,0.444,0.278,4.222,1.114,0.471,1.517,1.042,0.752,1.114,4.222,0.454,Visual,4.781,18,0.947
CLINGY,2.0,0.0,3.222,1.722,0.056,4.222,1.879,0.0,1.801,1.934,0.236,1.309,4.222,0.376,Visual,4.957,18,0.947
