Word,Auditory.mean,Gustatory.mean,Haptic.mean,Interoceptive.mean,Olfactory.mean,Visual.mean,Auditory.SD,Gustatory.SD,Haptic.SD,Interoceptive.SD,Olfactory.SD,Visual.SD,Max_strength.perceptual,Exclusivity.perceptual,Dominant.perceptual,Minkowski3.perceptual,N_known.perceptual,Percent_known.perceptual
EXFOLIATION,0.211,0.263,3.895,1.211,0.211,2.368,0.535,1.147,1.329,1.686,0.918,1.892,3.895,0.452,Haptic,4.202,19,0.95
CUSHIONED,0.105,0.0,3.895,0.263,0.0,3.211,0.315,0.0,1.56,0.733,0.0,1.96,3.895,0.521,Haptic,4.517,19,1.0
ICE CUBE,0.474,2.632,3.895,0.789,0.263,4.053,1.02,1.802,1.37,1.475,0.733,1.177,4.053,0.313,Visual,5.247,19,1.0
SCULPT,0.684,0.474,3.895,0.474,0.368,3.316,1.455,1.307,1.883,1.219,1.212,1.827,3.895,0.383,Haptic,4.581,19,0.905
SNAKESKIN,0.316,0.158,3.895,0.263,0.316,4.368,0.671,0.501,1.1,0.653,0.671,1.116,4.368,0.452,Visual,5.224,19,1.0
TIGHTNESS,0.895,0.263,3.895,2.474,0.263,3.421,1.729,1.147,1.37,2.091,1.147,1.835,3.895,0.324,Haptic,4.863,19,1.0
PLAY DOUGH,0.316,0.474,3.895,0.368,2.263,3.895,1.157,1.172,1.823,1.165,1.79,1.729,3.895,0.319,Haptic,5.065,19,1.0
WARMER,0.278,0.167,3.889,3.056,0.222,1.111,0.752,0.707,1.605,2.182,0.548,1.844,3.889,0.427,Haptic,4.461,18,1.0
BEESTINGS,0.667,0.0,3.889,3.167,0.056,3.0,1.237,0.0,1.451,1.948,0.236,1.782,3.889,0.361,Haptic,4.903,18,0.9
CLUTCH,1.0,0.333,3.889,0.889,0.222,3.444,1.237,1.029,1.231,1.323,0.548,1.542,3.889,0.375,Haptic,4.664,18,1.0
TONGS,0.667,0.0,3.889,0.167,0.167,3.5,1.188,0.0,1.779,0.707,0.707,1.948,3.889,0.464,Haptic,4.672,18,1.0
